,id,n_outflows,n_inflows,fkt_outflows,fkt_inflows,vkt_outflows,vkt_inflows
0,0_3,40,5.572087063673765,609.8066991155329,73.28336066427241,15.245167477888325,13.15186927749753
1,1_2,31,15.906530066325574,388.9738751584137,195.69669627235277,12.547544359948832,12.302915560864301
2,1_3,73,38.81722393827739,777.9786440673514,393.8877584071545,10.657241699552756,10.147241828356112
3,1_4,124,47.36809652058975,1311.5553913075853,482.925047404058,10.577059607319233,10.195154183452194
4,1_5,35,10.59426843764138,457.20168891218935,118.58310746512578,13.062905397491122,11.193137889899091
5,2_1,21,13.87256670327137,289.98069617561947,182.84678092379318,13.808604579791405,13.18045786585946
6,2_2,52,57.38444057514637,572.5506183947788,695.2059431476852,11.010588815284207,12.11488578053306
7,2_3,106,200.27613218974986,968.0985902930541,2119.0242813571317,9.133005568802396,10.580513305247381
8,2_4,181,236.13044666133038,1730.2507486954428,2428.7697562405524,9.559396401632279,10.285711946854573
9,2_5,67,15.432477847544938,731.1745509378851,168.62659963335662,10.913052999072912,10.926735246225054
10,3_0,14,2.9711008966690327,251.82155059576607,44.10171587263177,17.98725361398328,14.843560486981504
11,3_1,12,8.73002287419372,177.44150523202208,104.2554638719977,14.78679210266851,11.9421753384153
12,3_2,12,5.748915290278738,132.80564494642454,74.22487153865606,11.06713707886871,12.911108929395485
13,3_3,37,148.35420066501882,366.27828615740566,1759.4242885599267,9.899413139389342,11.859618943535517
14,3_4,57,130.79133622987976,534.0432967320778,1413.9244847404464,9.36918064442242,10.810536274782933
15,3_5,10,5.111337684052863,116.92640505058792,62.41094871335061,11.69264050505879,12.210296515542277
16,4_1,5,0.0,89.07542653302657,0.0,17.815085306605315,0.0
17,4_2,1,0.4277061097575826,14.638780748427497,6.136424094346181,14.638780748427493,14.347291175766028
18,4_3,29,9.401375361169533,328.475457122859,119.50601307802617,11.326739900788237,12.711545756551901
19,4_4,62,36.287153797520915,723.0048971691424,451.25094218247887,11.661369309179715,12.435556249476576
20,4_5,2,0.0,26.938890934995406,0.0,13.4694454674977,0.0
21,5_2,1,0.225810881623083,19.577326429946375,3.7444938876708975,19.577326429946375,16.582433320999556
22,5_3,6,0.3636400736408465,89.78540260975211,4.601335864750617,14.96423376829202,12.653544530120136
23,5_4,22,10.23313013264443,325.1439555140893,131.0980149146109,14.779270705185882,12.81113532372648
