,vehicle_id,name,location,origin_zone,days_between_charges,charging_demand,arrival_time,departure_time,idling_duration,charging_power,strategy
269,635,PHEV,work,2_4,1.0,4.57915708151897,10.35944821958742,18.587689191567694,8.228240971980274,7.4,dumb
270,638,BEV,work,3_3,5.950199911679921,27.24690006202266,7.535041807524567,21.893724439219664,14.358682631695096,7.4,dumb
271,639,BEV,work,5_2,1.0,7.244811031121759,8.587313097000788,17.731334273085842,9.144021176085054,11.0,dumb
272,640,BEV,work,2_3,1.0,3.234590739672158,6.343028831519247,18.533929655020117,12.19090082350087,7.4,dumb
273,641,PHEV,work,2_2,1.3656758772846873,8.834805091974692,9.814160626021689,17.673906585661513,7.859745959639824,11.0,dumb
274,644,BEV,work,4_4,1.6785104425639479,10.881149404805907,10.634197492416392,14.085736399701954,3.4515389072855616,11.0,dumb
275,652,BEV,work,3_3,5.642916888075067,25.839802828451933,8.343916644624787,14.922189736944745,6.578273092319957,7.4,dumb
276,653,BEV,work,1_4,3.32522617710856,24.090503917741625,9.360506739625931,16.88173458872443,7.5212278490985,7.4,dumb
277,654,PHEV,work,3_3,1.0,4.57915708139885,10.186504374255442,14.840000837006544,4.653496462751102,11.0,dumb
278,656,PHEV,work,5_4,1.0,6.482638164963455,7.4520432206059,15.562273540480632,8.11023031987473,11.0,dumb
279,657,PHEV,work,4_4,1.0,4.579169567138629,9.075736029210406,16.12558166507075,7.049845635860345,11.0,dumb
280,660,PHEV,work,2_5,1.3466973652998526,6.166718315086972,8.786065084430147,16.738205761420005,7.952140676989858,11.0,dumb
281,662,PHEV,work,1_4,1.0,7.244771523689089,9.536417291590158,20.64815675924522,11.111739467655063,11.0,dumb
282,663,BEV,work,1_2,3.815059337238358,12.365736680649446,8.680336420360714,17.77664387909179,9.096307458731076,7.4,dumb
283,664,BEV,work,4_2,2.17550595075569,19.923994122953022,8.582835808242544,17.95602009622102,9.373184287978477,11.0,dumb
284,666,BEV,work,2_4,7.67025161231675,24.810124836155197,8.647584605531282,16.002363929559394,7.354779324028112,7.4,dumb
285,668,BEV,work,2_2,1.0,6.469181479239819,8.581694801338386,16.25084263232683,7.669147830988443,7.4,dumb
286,669,BEV,work,5_3,1.3968591829702068,9.055332650488289,10.152437939951307,16.03166150441775,5.879223564466445,7.4,dumb
287,670,PHEV,work,2_4,2.3635312664432777,7.660929929154713,9.175373052699461,19.527970675845662,10.3525976231462,11.0,dumb
288,674,BEV,work,4_4,6.581741731717729,21.289356951865386,7.158836103625138,16.01566150505672,8.856825401431582,7.4,dumb
289,678,BEV,work,5_4,6.346135786251098,45.97655454970902,8.843367064017972,18.483268441921307,9.639901377903335,11.0,dumb
290,680,PHEV,work,1_5,1.0,10.247789787782656,8.68643387203766,15.584361270639327,6.8979273986016665,11.0,dumb
291,681,BEV,work,3_4,2.58061057722733,11.817021199334537,7.87038075374606,15.234267458529823,7.363886704783763,11.0,dumb
292,683,BEV,work,1_2,1.3175254963867913,8.523280737196714,9.094946625906656,20.82389474802981,11.728948122123155,11.0,dumb
293,684,BEV,work,1_5,6.65692716746968,21.532357155379895,8.789135100992823,16.930683671035457,8.141548570042634,7.4,dumb
294,685,BEV,work,2_3,1.0,4.579157081511705,9.158099628624656,18.4460198110022,9.287920182377542,7.4,dumb
295,687,BEV,work,1_3,2.420778915020675,7.846461084912445,8.478091594834343,17.04056016092548,8.562468566091137,11.0,dumb
296,688,BEV,work,2_5,3.4682900286039153,15.881792147609262,9.918791697592825,14.41494671452287,4.496155016930045,11.0,dumb
297,695,PHEV,work,1_2,1.0,6.469158100219793,8.967435844247472,20.787192154966124,11.819756310718653,11.0,dumb
298,699,BEV,work,0_3,1.0,7.24474534178689,10.175040783929965,18.608791983728658,8.433751199798692,11.0,dumb
299,703,PHEV,work,4_4,1.0,6.48262240667672,6.511892323758945,18.92047520384989,12.408582880090945,11.0,dumb
300,705,BEV,work,0_3,2.9944233719094417,21.693834774978722,9.623517433982524,16.415000487295853,6.791483053313328,7.4,dumb
301,706,BEV,work,4_4,1.0,4.579169567138629,8.888247686433683,19.088541590854838,10.200293904421155,11.0,dumb
302,707,BEV,work,2_3,3.9837746547489075,18.24232992144031,8.807586182530487,17.692439263644868,8.88485308111438,7.4,dumb
303,708,BEV,work,2_2,1.983666485989424,18.16706564043036,9.426553855755005,16.33372169916332,6.907167843408315,11.0,dumb
304,709,BEV,work,4_3,5.704899132527239,36.98270694359574,7.112623671995811,17.83396803305879,10.72134436106298,11.0,dumb
305,711,BEV,work,4_3,13.174765094532484,42.61520556220264,7.904948339675571,17.294383639999218,9.389435300323647,7.4,dumb
306,713,PHEV,work,4_3,1.0585653124478387,4.847350063595481,8.780414661052127,19.611680344088608,10.83126568303648,7.4,dumb
307,718,BEV,work,3_1,1.0,6.469201031509457,8.571493708870676,16.00628047552777,7.434786766657094,7.4,dumb
308,719,BEV,work,1_4,1.834697370342208,8.401339578943004,9.043047669565729,15.963133225853333,6.920085556287605,7.4,dumb
309,723,BEV,work,3_4,3.3487150156226817,10.83175531698322,8.128631755359807,17.624650067418433,9.496018312058625,7.4,dumb
310,724,BEV,work,2_4,7.838293172910169,25.40631283977037,7.9185865661913715,17.99587676780241,10.077290201611039,7.4,dumb
311,727,BEV,work,2_1,2.622270414355391,8.499582884054,9.570412565256213,17.39525161079676,7.824839045540546,11.0,dumb
312,731,PHEV,work,1_4,1.0,3.234579050316456,9.412026027211468,19.45348753358603,10.041461506374564,7.4,dumb
313,733,PHEV,work,4_4,1.0,7.244793420154751,9.674956852886133,19.013562652169288,9.338605799283155,11.0,dumb
314,734,BEV,work,2_1,4.872301010861348,15.759899729695288,8.833214278118845,16.83304617686388,7.999831898745036,7.4,dumb
315,735,PHEV,work,2_3,1.4462275276105392,4.67795416826801,11.54105819481273,19.169806165958537,7.628747971145806,11.0,dumb
316,736,PHEV,work,2_4,1.0,7.2357557893452125,9.459642506570393,18.15360506617999,8.693962559609595,7.4,dumb
317,737,BEV,work,1_3,1.0,4.579141887078836,8.521711508658774,16.291114693035148,7.769403184376374,7.4,dumb
318,739,PHEV,work,5_4,1.0,6.482638164963455,8.003520195909102,16.19102401312642,8.187503817217317,11.0,dumb
319,740,BEV,work,4_4,2.3445906529416822,10.736278165348239,9.251574168302415,18.004876396211298,8.753302227908883,7.4,dumb
