,id,geometry,n_vehicles_home,n_vehicles_work,n_vehicles_poi,Etot_home_kWh,Etot_work_kWh,Etot_poi_kWh,E_per_vehicle_home_kWh,E_per_vehicle_work_kWh,E_per_vehicle_poi_kWh
0,0_3,"POLYGON ((38.683873553670054 8.965780444727844, 38.683835300412134 9.009899885450594, 38.63936451876394 9.0098589926729, 38.63940815234414 8.965739755378113, 38.683873553670054 8.965780444727844))",20,2,2,123.99402882015835,8.940570001041234,6.741688427968917,6.199701441007917,4.470285000520617,4.486968187059311
1,1_2,"POLYGON ((38.7283718561157 8.921696064493137, 38.72833915124168 8.965815787080833, 38.683873553670054 8.965780444727844, 38.68391161149395 8.921660898794752, 38.7283718561157 8.921696064493137))",16,5,5,79.09135461554412,23.874996945227036,23.221371251892936,4.9432096634715075,4.774999389045407,4.486968187059311
2,1_3,"POLYGON ((38.72833915124168 8.965815787080833, 38.728306278421954 9.009935404499071, 38.683835300412134 9.009899885450594, 38.683873553670054 8.965780444727844, 38.72833915124168 8.965815787080833))",36,12,8,158.18899096036145,48.054306525672835,34.45751863184113,4.394138637787818,4.00452554380607,4.486968187059311
3,1_4,"POLYGON ((38.728306278421954 9.009935404499071, 38.728273237557346 9.05405491624774, 38.68379685160476 9.054019220462683, 38.683835300412134 9.009899885450594, 38.728306278421954 9.009935404499071))",62,14,16,266.68292956587567,58.91685578329507,70.41319024767536,4.301337573643156,4.208346841663934,4.486968187059311
4,1_5,"POLYGON ((38.728273237557346 9.05405491624774, 38.72824002854811 9.098174321826976, 38.683758207131866 9.09813844926403, 38.68379685160476 9.054019220462683, 38.728273237557346 9.05405491624774))",18,3,2,92.96434341214517,14.467139110745343,8.23984141196201,5.164685745119176,4.822379703581781,4.486968187059311
5,2_1,"POLYGON ((38.7728594807324 8.877605932666073, 38.77283226928161 8.921725909816118, 38.7283718561157 8.921696064493137, 38.72840439314271 8.877576237236347, 38.7728594807324 8.877605932666073))",10,4,6,58.96274155570929,22.307307272702765,28.46490669586876,5.8962741555709295,5.576826818175691,4.486968187059311
6,2_2,"POLYGON ((38.77283226928161 8.921725909816118, 38.77280491745652 8.965845782331586, 38.72833915124168 8.965815787080833, 38.7283718561157 8.921696064493137, 38.77283226928161 8.921725909816118))",26,17,10,116.4186257402717,84.81512506401758,44.944589519792785,4.477639451548911,4.98912500376574,4.486968187059311
7,2_3,"POLYGON ((38.77280491745652 8.965845782331586, 38.77277742517461 9.00996554971229, 38.728306278421954 9.009935404499071, 38.72833915124168 8.965815787080833, 38.77280491745652 8.965845782331586))",53,60,23,196.84671335958768,258.52096232557005,104.12163238751994,3.714088931312975,4.308682705426167,4.486968187059311
8,2_4,"POLYGON ((38.77277742517461 9.00996554971229, 38.77274979235292 9.054085211458297, 38.728273237557346 9.05405491624774, 38.728306278421954 9.009935404499071, 38.77277742517461 9.00996554971229))",90,71,45,351.81765223474,296.30991026134734,203.74880582306062,3.9090850248304445,4.1733790177654555,4.486968187059311
9,2_5,"POLYGON ((38.77274979235292 9.054085211458297, 38.77272201890802 9.098204767069932, 38.72824002854811 9.098174321826976, 38.728273237557346 9.05405491624774, 38.77274979235292 9.054085211458297))",34,5,3,148.6721586907033,20.572445155269506,13.483376855937834,4.372710549726568,4.1144890310539015,4.486968187059311
10,3_0,"POLYGON ((38.81733648215402 8.833510129924381, 38.81731470919699 8.877630334352466, 38.7728594807324 8.877605932666073, 38.772886551890956 8.833485851381887, 38.81733648215402 8.833510129924381))",7,1,1,51.203715287805764,5.380409336461075,5.992611935972371,7.314816469686538,5.380409336461075,4.486968187059311
11,3_1,"POLYGON ((38.81731470919699 8.877630334352466, 38.81729282340483 8.921750434674623, 38.77283226928161 8.921725909816118, 38.7728594807324 8.877605932666073, 38.81731470919699 8.877630334352466))",6,3,7,36.07977273051115,12.719166592383718,31.461212663854944,6.013295455085192,4.23972219746124,4.486968187059311
12,3_2,"POLYGON ((38.81729282340483 8.921750434674623, 38.81727082471154 8.965870430390565, 38.77280491745652 8.965845782331586, 38.77283226928161 8.921725909816118, 38.81729282340483 8.921750434674623))",6,2,2,27.003814472439657,9.055434327716037,8.23984141196201,4.500635745406609,4.527717163858019,4.486968187059311
13,3_3,"POLYGON ((38.81727082471154 8.965870430390565, 38.817248713050745 9.009990321000249, 38.77277742517461 9.00996554971229, 38.77280491745652 8.965845782331586, 38.81727082471154 8.965870430390565))",18,45,22,74.47658485200581,214.64976320431106,96.63086746755448,4.137588047333656,4.769994737873579,4.486968187059311
14,3_4,"POLYGON ((38.817248713050745 9.009990321000249, 38.81722648835572 9.054110106003897, 38.77274979235292 9.054085211458297, 38.77277742517461 9.00996554971229, 38.817248713050745 9.009990321000249))",28,38,22,108.5888036688558,172.49878713833445,96.63086746755448,3.878171559601993,4.539441766798275,4.486968187059311
15,3_5,"POLYGON ((38.81722648835572 9.054110106003897, 38.81720415055939 9.098229784901982, 38.77272201890802 9.098204767069932, 38.77274979235292 9.054085211458297, 38.81722648835572 9.054110106003897))",5,2,2,23.77503569361954,7.614135743028774,7.490764919965463,4.755007138723908,3.807067871514387,4.486968187059311
16,4_1,"POLYGON ((38.86177005096534 8.87764944222271, 38.86175349089809 8.921769638995453, 38.81729282340483 8.921750434674623, 38.81731470919699 8.877630334352466, 38.86177005096534 8.87764944222271))",2,0,0,18.112003395048735,0.0,0.0,9.056001697524367,0.0,0.0
